,Unnamed: 0,Unnamed: 1,cc_data,date
0,Utah County,49049,129.2,2022-02-24
1,Utah County,49049,65.86,2022-03-03
2,Utah County,49049,36.62,2022-03-10
3,Utah County,49049,28.29,2022-03-17
4,Utah County,49049,27.35,2022-03-24
5,Utah County,49049,20.28,2022-03-31
6,Utah County,49049,3.62,2022-04-07
7,Utah County,49049,13.67,2022-04-14
8,Utah County,49049,20.12,2022-04-21
9,Utah County,49049,29.23,2022-04-28
10,Utah County,49049,39.45,2022-05-05
11,Utah County,49049,84.87,2022-05-12
12,Utah County,49049,93.68,2022-05-19
13,Utah County,49049,102.95,2022-05-26
14,Utah County,49049,121.65,2022-06-02
15,Utah County,49049,135.96,2022-06-09
16,Utah County,49049,183.89,2022-06-16
17,Utah County,49049,142.87,2022-06-23
18,Utah County,49049,168.96,2022-06-30
19,Utah County,49049,190.97,2022-07-07
20,Utah County,49049,174.15,2022-07-14
21,Utah County,49049,201.81,2022-07-21
22,Utah County,49049,149.32,2022-07-28
23,Utah County,49049,128.73,2022-08-04
24,Utah County,49049,154.82,2022-08-11
25,Utah County,49049,94.62,2022-08-18
26,Utah County,49049,76.23,2022-08-25
27,Utah County,49049,64.6,2022-09-01
28,Utah County,49049,58.0,2022-09-08
29,Utah County,49049,52.65,2022-09-15
30,Utah County,49049,42.75,2022-09-22
31,Utah County,49049,42.91,2022-09-29
32,Utah County,49049,42.44,2022-10-06
33,Utah County,49049,30.65,2022-10-13
34,Utah County,49049,35.21,2022-10-20
35,Utah County,49049,40.71,2022-10-27
36,Utah County,49049,42.28,2022-11-03
37,Utah County,49049,69.79,2022-11-10
38,Utah County,49049,72.46,2022-11-17
39,Utah County,49049,95.56,2022-11-24
40,Utah County,49049,91.0,2022-12-01
41,Utah County,49049,83.77,2022-12-08
42,Utah County,49049,63.5,2022-12-15
43,Utah County,49049,64.76,2022-12-22
44,Utah County,49049,0.0,2022-12-29
45,Utah County,49049,58.31,2023-01-05
46,Utah County,49049,46.05,2023-01-12
47,Utah County,49049,25.78,2023-01-19
48,Utah County,49049,28.76,2023-01-26
49,Utah County,49049,26.25,2023-02-02
50,Utah County,49049,28.45,2023-02-09
51,Utah County,49049,0.0,2023-02-16
52,Utah County,49049,36.15,2023-02-23
53,Utah County,49049,37.56,2023-03-02
54,Utah County,49049,0.0,2023-03-09
55,Utah County,49049,26.41,2023-03-16
56,Utah County,49049,19.49,2023-03-23
57,Utah County,49049,15.72,2023-03-30
58,Utah County,49049,28.92,2023-04-06
59,Utah County,49049,14.3,2023-04-13
60,Utah County,49049,14.15,2023-04-20
61,Utah County,49049,11.63,2023-04-27
62,Utah County,49049,8.17,2023-05-04
63,Utah County,49049,8.17,2023-05-11
